"","time","value","Intervention"
"259",45,47427.1527105013,"Intervention"
"260",45,47427.1527105013,"Intervention"
"261",46,54203.531458297,"Intervention"
"262",47,61576.7497220142,"Intervention"
"263",48,69358.4214351453,"Intervention"
"264",49,77413.3248620043,"Intervention"
"265",50,85644.2218584954,"Intervention"
"266",51,93981.0817564152,"Intervention"
"267",52,102373.314488771,"Intervention"
"268",53,110784.335095424,"Intervention"
"269",54,119187.594159804,"Intervention"
"270",55,127563.793630701,"Intervention"
"271",56,135898.886382317,"Intervention"
"272",57,144182.618005601,"Intervention"
"273",58,152407.491783704,"Intervention"
"274",59,160568.034091253,"Intervention"
"275",60,168660.245118651,"Intervention"
"276",61,176681.207843233,"Intervention"
"277",62,184628.801173207,"Intervention"
"278",63,192501.501974561,"Intervention"
"279",64,200298.23156085,"Intervention"
"280",65,208018.241433722,"Intervention"
"281",66,215661.029992676,"Intervention"
"282",67,223226.285378377,"Intervention"
"283",68,230713.842754594,"Intervention"
"284",69,238123.649982004,"Intervention"
"285",70,245455.741318552,"Intervention"
"286",71,252710.218909642,"Intervention"
"287",72,259887.239518256,"Intervention"
"288",73,266987.004424968,"Intervention"
"289",74,274009.751189963,"Intervention"
"290",75,280955.747252449,"Intervention"
"291",76,287825.285278118,"Intervention"
"292",77,294618.679743499,"Intervention"
"293",78,301336.264217201,"Intervention"
"294",79,307978.389115108,"Intervention"
"295",80,314545.419920314,"Intervention"
"296",81,321037.735824958,"Intervention"
"297",82,327455.728661347,"Intervention"
"298",83,333799.802001805,"Intervention"
"299",84,340070.370382286,"Intervention"
"300",85,346267.858644876,"Intervention"
"301",86,352392.701383452,"Intervention"
"302",87,358445.34245584,"Intervention"
"303",88,364426.234536654,"Intervention"
"304",89,370335.838701647,"Intervention"
"305",90,376174.624041613,"Intervention"
"306",91,381943.067299902,"Intervention"
"307",92,387641.652524977,"Intervention"
"308",93,393270.870732439,"Intervention"
"309",94,398831.21957504,"Intervention"
"310",95,404323.203020227,"Intervention"
"311",96,409747.331033787,"Intervention"
"312",97,415104.119267847,"Intervention"
"313",98,420394.08875241,"Intervention"
"314",99,425617.765590468,"Intervention"
"315",100,430775.680656835,"Intervention"
"316",101,435868.369300622,"Intervention"
"317",102,440896.371051232,"Intervention"
"318",103,445860.229328008,"Intervention"
"319",104,450760.491153798,"Intervention"
"320",105,455597.706872685,"Intervention"
"321",106,460372.429872078,"Intervention"
"322",107,465085.216309303,"Intervention"
"323",108,469736.624842927,"Intervention"
"324",109,474327.216369002,"Intervention"
"325",110,478857.553762423,"Intervention"
"326",111,483328.201623545,"Intervention"
"327",112,487739.726030188,"Intervention"
"328",113,492092.694295152,"Intervention"
"329",114,496387.674729355,"Intervention"
"330",115,500625.236410673,"Intervention"
"331",116,504805.948958555,"Intervention"
"332",117,508930.382314456,"Intervention"
