"","time","value","Intervention"
"206",205,22.0321677144174,"Baseline"
"207",206,19.8790506378231,"Baseline"
"208",207,17.9362317049939,"Baseline"
"209",208,16.1831852801449,"Baseline"
"210",209,14.60138728855,"Baseline"
"211",210,13.1741202567347,"Baseline"
"212",211,11.8862973146733,"Baseline"
"213",212,10.7243033192382,"Baseline"
"214",0,300,"Intervention"
"215",1,309.544603941868,"Intervention"
"216",2,334.655604906273,"Intervention"
"217",3,371.926466066708,"Intervention"
"218",4,419.696091871689,"Intervention"
"219",5,477.421443372236,"Intervention"
"220",6,545.304662749325,"Intervention"
"221",7,624.07637101028,"Intervention"
"222",8,714.875276552509,"Intervention"
"223",9,819.187817757402,"Intervention"
"224",10,938.826079904809,"Intervention"
"225",11,1075.93141236759,"Intervention"
"226",12,1232.99522488937,"Intervention"
"227",13,1412.89403673545,"Intervention"
"228",14,1618.93581663485,"Intervention"
"229",15,1854.91635173471,"Intervention"
"230",16,2125.18639236231,"Intervention"
"231",17,2434.72982139127,"Intervention"
"232",18,2789.25417619646,"Intervention"
"233",19,3195.29445479414,"Intervention"
"234",20,3660.33091815286,"Intervention"
"235",21,4192.9253071655,"Intervention"
"236",22,4802.87606619914,"Intervention"
"237",23,5501.39532648965,"Intervention"
"238",24,6301.31056742761,"Intervention"
"239",25,7217.29409523072,"Intervention"
"240",26,8266.12529285117,"Intervention"
"241",27,9466.98817122175,"Intervention"
"242",28,10841.8098980201,"Intervention"
"243",29,12415.644640777,"Intervention"
"244",30,14217.1075907607,"Intervention"
"245",31,16278.8678510821,"Intervention"
"246",32,18638.2030468716,"Intervention"
"247",33,21337.625499937,"Intervention"
"248",34,24425.5849146066,"Intervention"
"249",35,27957.2533808712,"Intervention"
"250",36,31995.4042462946,"Intervention"
"251",37,36611.3861158138,"Intervention"
"252",38,41886.1999847429,"Intervention"
"253",39,47911.6807132054,"Intervention"
"254",40,54791.7815709308,"Intervention"
"255",41,62643.9643678408,"Intervention"
"256",42,71600.6782551064,"Intervention"
"257",43,81810.9130156257,"Intervention"
"258",44,93441.7960671041,"Intervention"
"259",45,106680.191740305,"Intervention"
"260",45,106680.191740305,"Intervention"
"261",46,106197.176861013,"Intervention"
"262",47,105651.886721547,"Intervention"
"263",48,105049.151247445,"Intervention"
"264",49,104394.696352391,"Intervention"
"265",50,103694.503535219,"Intervention"
"266",51,102954.414683422,"Intervention"
"267",52,102179.901454239,"Intervention"
"268",53,101375.953198497,"Intervention"
"269",54,100547.032372303,"Intervention"
"270",55,99697.0783227416,"Intervention"
"271",56,98829.5361135712,"Intervention"
"272",57,97947.3979615145,"Intervention"
"273",58,97053.2513061215,"Intervention"
"274",59,96149.3275722492,"Intervention"
"275",60,95237.5481969658,"Intervention"
"276",61,94319.5672802025,"Intervention"
"277",62,93396.810126464,"Intervention"
"278",63,92470.5067514108,"Intervention"
"279",64,91541.7209973034,"Intervention"
"280",65,90611.3758657971,"Intervention"
"281",66,89680.275379801,"Intervention"
"282",67,88749.1227382859,"Intervention"
"283",68,87818.5355907484,"Intervention"
"284",69,86889.0590698551,"Intervention"
"285",70,85961.1768655636,"Intervention"
"286",71,85035.3204747704,"Intervention"
"287",72,84111.8768960381,"Intervention"
"288",73,83191.1949973313,"Intervention"
"289",74,82273.590880736,"Intervention"
"290",75,81359.3524080959,"Intervention"
"291",76,80448.7429847417,"Intervention"
"292",77,79542.0047003035,"Intervention"
"293",78,78639.3609455109,"Intervention"
"294",79,77741.0186119707,"Intervention"
"295",80,76847.1699479311,"Intervention"
"296",81,75957.9941186264,"Intervention"
"297",82,75073.6585148969,"Intervention"
"298",83,74194.31985503,"Intervention"
"299",84,73320.1251195561,"Intervention"
"300",85,72451.212348362,"Intervention"
"301",86,71587.7113195435,"Intervention"
"302",87,70729.7441307198,"Intervention"
"303",88,69877.4256986202,"Intervention"
"304",89,69030.8641917022,"Intervention"
"305",90,68190.1614071216,"Intervention"
"306",91,67355.4131010764,"Intervention"
"307",92,66526.7092800836,"Intervention"
"308",93,65704.1344597306,"Intervention"
"309",94,64887.7678964044,"Intervention"
"310",95,64077.6837964566,"Intervention"
"311",96,63273.9515064129,"Intervention"
"312",97,62476.6356872522,"Intervention"
"313",98,61685.7964753236,"Intervention"
"314",99,60901.4896320458,"Intervention"
"315",100,60123.7666841401,"Intervention"
"316",101,59352.6750558277,"Intervention"
"317",102,58588.2581941855,"Intervention"
"318",103,57830.555688669,"Intervention"
"319",104,57079.6033856344,"Intervention"
"320",105,56335.4334985407,"Intervention"
"321",106,55598.0747143921,"Intervention"
"322",107,54867.552296881,"Intervention"
"323",108,54143.8881866198,"Intervention"
"324",109,53427.1010987762,"Intervention"
"325",110,52717.2066183695,"Intervention"
"326",111,52014.2172934359,"Intervention"
"327",112,51318.142726235,"Intervention"
"328",113,50628.989662636,"Intervention"
"329",114,49946.7620797967,"Intervention"
"330",115,49271.4612722238,"Intervention"
"331",116,48603.0859362868,"Intervention"
"332",117,47941.6322532412,"Intervention"
"333",118,47287.0939708068,"Intervention"
"334",119,46639.4624833336,"Intervention"
"335",120,45998.7269105834,"Intervention"
"336",121,45364.8741751459,"Intervention"
"337",122,44737.8890785048,"Intervention"
"338",123,44117.7543757633,"Intervention"
"339",124,43504.4508490386,"Intervention"
"340",125,42897.95737953,"Intervention"
"341",126,42298.251018261,"Intervention"
"342",127,41705.3070555036,"Intervention"
"343",128,41119.0990888838,"Intervention"
"344",129,40539.5990901679,"Intervention"
"345",130,39966.7774707328,"Intervention"
"346",131,39400.6031457211,"Intervention"
"347",132,38841.0435968823,"Intervention"
"348",133,38288.0649341031,"Intervention"
"349",134,37741.6319556292,"Intervention"
"350",135,37201.7082069811,"Intervention"
"351",136,36668.2560385683,"Intervention"
"352",137,36141.2366620084,"Intervention"
"353",138,35620.610205154,"Intervention"
"354",139,35106.3357658362,"Intervention"
"355",140,34598.3714643308,"Intervention"
"356",141,34096.6744945556,"Intervention"
"357",142,33601.2011740077,"Intervention"
"358",143,33111.9069924511,"Intervention"
"359",144,32628.7466593637,"Intervention"
"360",145,32151.6741501571,"Intervention"
"361",146,31680.642751177,"Intervention"
"362",147,31215.6051035022,"Intervention"
"363",148,30756.5132455519,"Intervention"
"364",149,30303.3186545162,"Intervention"
"365",150,29855.972286623,"Intervention"
"366",151,29414.424616257,"Intervention"
"367",152,28978.6256739473,"Intervention"
"368",153,28548.5250832367,"Intervention"
