"","time","value","Intervention"
"269",54,6672120.61703536,"Intervention"
"270",55,6664519.83997408,"Intervention"
"271",56,6656973.37505287,"Intervention"
"272",57,6649488.82604865,"Intervention"
"273",58,6642071.45818629,"Intervention"
"274",59,6634724.87377931,"Intervention"
"275",60,6627451.50742411,"Intervention"
"276",61,6620252.96829067,"Intervention"
"277",62,6613130.28394857,"Intervention"
"278",63,6606084.06190643,"Intervention"
"279",64,6599114.61208478,"Intervention"
"280",65,6592222.0346548,"Intervention"
"281",66,6585406.28105464,"Intervention"
"282",67,6578667.19320421,"Intervention"
"283",68,6572004.53154365,"Intervention"
"284",69,6565417.99713577,"Intervention"
"285",70,6558907.24786242,"Intervention"
"286",71,6552471.90879413,"Intervention"
"287",72,6546111.57895318,"Intervention"
"288",73,6539825.83625426,"Intervention"
"289",74,6533614.24155945,"Intervention"
"290",75,6527476.34169496,"Intervention"
"291",76,6521411.67141676,"Intervention"
"292",77,6515419.75472733,"Intervention"
"293",78,6509500.10595269,"Intervention"
"294",79,6503652.23069035,"Intervention"
"295",80,6497875.62656548,"Intervention"
"296",81,6492169.78379309,"Intervention"
"297",82,6486534.18563712,"Intervention"
"298",83,6480968.30884407,"Intervention"
"299",84,6475471.62405956,"Intervention"
"300",85,6470043.59620786,"Intervention"
"301",86,6464683.68483501,"Intervention"
"302",87,6459391.34443594,"Intervention"
"303",88,6454166.02477907,"Intervention"
"304",89,6449007.17122663,"Intervention"
"305",90,6443914.22504512,"Intervention"
"306",91,6438886.62370639,"Intervention"
"307",92,6433923.80118356,"Intervention"
"308",93,6429025.18824367,"Intervention"
"309",94,6424190.21273579,"Intervention"
"310",95,6419418.29987302,"Intervention"
"311",96,6414708.87250856,"Intervention"
"312",97,6410061.3514066,"Intervention"
"313",98,6405475.155508,"Intervention"
"314",99,6400949.70219044,"Intervention"
"315",100,6396484.4075224,"Intervention"
"316",101,6392078.6865112,"Intervention"
"317",102,6387731.95334501,"Intervention"
"318",103,6383443.62162883,"Intervention"
"319",104,6379213.10461437,"Intervention"
"320",105,6375039.81542361,"Intervention"
"321",106,6370923.16726607,"Intervention"
"322",107,6366862.57364992,"Intervention"
"323",108,6362857.44858683,"Intervention"
"324",109,6358907.20679057,"Intervention"
"325",110,6355011.26386941,"Intervention"
"326",111,6351169.03651231,"Intervention"
"327",112,6347379.94266907,"Intervention"
"328",113,6343643.40172433,"Intervention"
"329",114,6339958.83466564,"Intervention"
"330",115,6336325.6642455,"Intervention"
"331",116,6332743.31513767,"Intervention"
"332",117,6329211.21408754,"Intervention"
"333",118,6325728.79005697,"Intervention"
"334",119,6322295.47436338,"Intervention"
"335",120,6318910.70081343,"Intervention"
"336",121,6315573.90583119,"Intervention"
"337",122,6312284.52858109,"Intervention"
"338",123,6309042.01108552,"Intervention"
"339",124,6305845.79833744,"Intervention"
"340",125,6302695.33840788,"Intervention"
"341",126,6299590.08254852,"Intervention"
"342",127,6296529.48528953,"Intervention"
"343",128,6293513.00453264,"Intervention"
"344",129,6290540.10163965,"Intervention"
"345",130,6287610.24151639,"Intervention"
"346",131,6284722.89269236,"Intervention"
"347",132,6281877.52739602,"Intervention"
"348",133,6279073.62162597,"Intervention"
"349",134,6276310.655218,"Intervention"
"350",135,6273588.11190818,"Intervention"
"351",136,6270905.47939213,"Intervention"
"352",137,6268262.24938045,"Intervention"
"353",138,6265657.91765059,"Intervention"
"354",139,6263091.98409504,"Intervention"
"355",140,6260563.95276615,"Intervention"
"356",141,6258073.33191759,"Intervention"
"357",142,6255619.63404247,"Intervention"
"358",143,6253202.37590835,"Intervention"
"359",144,6250821.07858921,"Intervention"
"360",145,6248475.26749432,"Intervention"
"361",146,6246164.47239436,"Intervention"
"362",147,6243888.22744466,"Intervention"
"363",148,6241646.07120577,"Intervention"
"364",149,6239437.54666135,"Intervention"
"365",150,6237262.20123362,"Intervention"
"366",151,6235119.58679629,"Intervention"
"367",152,6233009.25968513,"Intervention"
"368",153,6230930.7807063,"Intervention"
"369",154,6228883.71514239,"Intervention"
"370",155,6226867.63275646,"Intervention"
"371",156,6224882.10779388,"Intervention"
"372",157,6222926.7189823,"Intervention"
"373",158,6221001.04952971,"Intervention"
"374",159,6219104.68712058,"Intervention"
"375",160,6217237.22391037,"Intervention"
"376",161,6215398.25651825,"Intervention"
"377",162,6213587.38601821,"Intervention"
"378",163,6211804.21792866,"Intervention"
"379",164,6210048.36220047,"Intervention"
"380",165,6208319.43320362,"Intervention"
"381",166,6206617.04971246,"Intervention"
"382",167,6204940.83488966,"Intervention"
"383",168,6203290.41626888,"Intervention"
"384",169,6201665.42573627,"Intervention"
"385",170,6200065.49951085,"Intervention"
"386",171,6198490.2781237,"Intervention"
"387",172,6196939.4063962,"Intervention"
"388",173,6195412.53341725,"Intervention"
"389",174,6193909.31251955,"Intervention"
"390",175,6192429.40125498,"Intervention"
"391",176,6190972.46136911,"Intervention"
"392",177,6189538.15877497,"Intervention"
"393",178,6188126.163526,"Intervention"
"394",179,6186736.14978832,"Intervention"
"395",180,6185367.79581227,"Intervention"
"396",181,6184020.78390341,"Intervention"
"397",182,6182694.8003928,"Intervention"
"398",183,6181389.53560684,"Intervention"
"399",184,6180104.68383645,"Intervention"
"400",185,6178839.94330595,"Intervention"
"401",186,6177595.01614125,"Intervention"
"402",187,6176369.60833783,"Intervention"
"403",188,6175163.42972817,"Intervention"
