"","time","value","Intervention"
"329",114,6209.72852520704,"Intervention"
"330",115,6280.63807159572,"Intervention"
"331",116,6350.64996748617,"Intervention"
"332",117,6419.77134475632,"Intervention"
"333",118,6488.00944408494,"Intervention"
"334",119,6555.37160345376,"Intervention"
"335",120,6621.8652476562,"Intervention"
"336",121,6687.49787869973,"Intervention"
"337",122,6752.27706700304,"Intervention"
"338",123,6816.21044330085,"Intervention"
"339",124,6879.30569117997,"Intervention"
"340",125,6941.57054017949,"Intervention"
"341",126,7003.01275939615,"Intervention"
"342",127,7063.640151543,"Intervention"
"343",128,7123.46054741594,"Intervention"
"344",129,7182.48180072811,"Intervention"
"345",130,7240.71178327678,"Intervention"
"346",131,7298.15838041204,"Intervention"
"347",132,7354.8294867798,"Intervention"
"348",133,7410.73300231522,"Intervention"
"349",134,7465.8768284653,"Intervention"
"350",135,7520.26886462193,"Intervention"
"351",136,7573.91700474902,"Intervention"
"352",137,7626.82913418877,"Intervention"
"353",138,7679.01312663445,"Intervention"
"354",139,7730.47684125787,"Intervention"
"355",140,7781.22811998152,"Intervention"
"356",141,7831.27478488599,"Intervention"
"357",142,7880.62463574479,"Intervention"
"358",143,7929.28544767895,"Intervention"
"359",144,7977.26496892496,"Intervention"
"360",145,8024.57091871009,"Intervention"
"361",146,8071.21098522972,"Intervention"
"362",147,8117.19282372171,"Intervention"
"363",148,8162.52405463351,"Intervention"
"364",149,8207.21226187779,"Intervention"
"365",150,8251.26499117295,"Intervention"
"366",151,8294.68974846503,"Intervention"
"367",152,8337.4939984278,"Intervention"
"368",153,8379.68516303816,"Intervention"
"369",154,8421.27062022395,"Intervention"
"370",155,8462.25770258168,"Intervention"
"371",156,8502.6536961617,"Intervention"
"372",157,8542.4658393185,"Intervention"
"373",158,8581.70132162397,"Intervention"
"374",159,8620.36728284156,"Intervention"
"375",160,8658.47081195932,"Intervention"
"376",161,8696.01894627997,"Intervention"
"377",162,8733.01867056616,"Intervention"
"378",163,8769.47691623916,"Intervention"
"379",164,8805.40056062934,"Intervention"
"380",165,8840.79642627683,"Intervention"
"381",166,8875.67128028063,"Intervention"
"382",167,8910.03183369489,"Intervention"
"383",168,8943.88474097074,"Intervention"
"384",169,8977.23659944216,"Intervention"
"385",170,9010.09394885469,"Intervention"
"386",171,9042.46327093544,"Intervention"
"387",172,9074.35098900323,"Intervention"
"388",173,9105.76346761738,"Intervention"
"389",174,9136.70701226407,"Intervention"
"390",175,9167.18786907891,"Intervention"
"391",176,9197.21222460463,"Intervention"
"392",177,9226.7862055826,"Intervention"
"393",178,9255.91587877711,"Intervention"
"394",179,9284.60725083124,"Intervention"
"395",180,9312.86626815331,"Intervention"
"396",181,9340.69881683269,"Intervention"
"397",182,9368.11072258413,"Intervention"
"398",183,9395.10775071933,"Intervention"
"399",184,9421.69560614507,"Intervention"
"400",185,9447.87993338654,"Intervention"
"401",186,9473.66631663535,"Intervention"
"402",187,9499.06027982087,"Intervention"
"403",188,9524.06728670434,"Intervention"
"404",189,9548.69274099462,"Intervention"
"405",190,9572.94198648484,"Intervention"
"406",191,9596.82030720909,"Intervention"
"407",192,9620.3329276183,"Intervention"
"408",193,9643.4850127745,"Intervention"
"409",194,9666.28166856276,"Intervention"
"410",195,9688.72794191992,"Intervention"
"411",196,9710.82882107947,"Intervention"
"412",197,9732.58923583185,"Intervention"
"413",198,9754.01405779936,"Intervention"
"414",199,9775.10810072516,"Intervention"
"415",200,9795.87612077557,"Intervention"
"416",201,9816.32281685507,"Intervention"
"417",202,9836.45283093333,"Intervention"
"418",203,9856.27074838375,"Intervention"
"419",204,9875.78109833283,"Intervention"
"420",205,9894.98835401978,"Intervention"
"421",206,9913.89693316586,"Intervention"
"422",207,9932.51119835299,"Intervention"
"423",208,9950.83545741084,"Intervention"
"424",209,9968.87396381215,"Intervention"
"425",210,9986.63091707573,"Intervention"
"426",211,10004.1104631765,"Intervention"
"427",212,10021.3166949622,"Intervention"
